Date / Time	Level (ft)	Velocity (fps)	Flow (gpm)	Temperature (°C)

11/15/2013 10:45 AM	0.86	0.00	0.00	9.4
11/15/2013 11:00 AM	0.86	0.00	0.00	9.4
11/15/2013 11:15 AM	0.87	0.00	0.00	9.4
11/15/2013 11:30 AM	0.87	0.00	0.00	9.3
11/15/2013 11:45 AM	0.87	0.00	0.00	9.2
11/15/2013 12:00 PM	0.87	0.00	0.00	9.2
11/15/2013 12:15 PM	0.88	1.98	958.01	9.2
11/15/2013 12:30 PM	0.87	0.00	0.00	9.2
11/15/2013 12:45 PM	0.93	5.39	2769.57	9.2
11/15/2013 1:00 PM	0.95	6.41	3379.12	9.2
11/15/2013 1:15 PM	0.87	0.00	0.00	9.2
11/15/2013 1:30 PM	0.98	7.98	4392.76	9.2
11/15/2013 1:45 PM	1.01	8.95	5073.75	9.3
11/15/2013 2:00 PM	0.88	2.13	1030.45	9.3
11/15/2013 2:15 PM	1.00	8.53	4765.75	9.3
11/15/2013 2:30 PM	1.01	9.04	5131.40	9.3
11/15/2013 2:45 PM	1.03	9.75	5652.77	9.4
11/15/2013 3:00 PM	1.05	10.41	6166.02	9.4
11/15/2013 3:15 PM	1.04	10.18	5975.20	9.4
11/15/2013 3:30 PM	1.06	10.71	6398.65	9.4
11/15/2013 3:45 PM	1.06	10.87	6519.82	9.5
11/15/2013 4:00 PM	1.09	11.74	7255.02	9.4
11/15/2013 4:15 PM	1.07	11.23	6821.66	9.5
11/15/2013 4:30 PM	1.10	11.86	7363.81	9.6
11/15/2013 4:45 PM	1.08	11.52	7067.30	9.6
11/15/2013 5:00 PM	1.09	11.84	7341.94	9.6
11/15/2013 5:15 PM	1.12	12.59	8011.15	9.6
11/15/2013 5:30 PM	1.12	12.47	7905.49	9.6
11/15/2013 5:45 PM	1.12	12.45	7889.53	9.6
11/15/2013 6:00 PM	1.11	12.26	7714.96	9.7
11/15/2013 6:15 PM	1.14	13.03	8422.40	9.7
11/15/2013 6:30 PM	1.15	13.34	8713.31	9.7
11/15/2013 6:45 PM	1.11	12.38	7822.83	9.7
11/15/2013 7:00 PM	1.17	13.73	9095.02	9.7
11/15/2013 7:15 PM	1.20	14.51	9863.12	9.8
11/15/2013 7:30 PM	1.14	13.13	8507.47	9.8
11/15/2013 7:45 PM	1.22	14.98	10349.97	9.8
11/15/2013 8:00 PM	1.18	14.11	9466.35	9.8
11/15/2013 8:15 PM	1.12	12.60	8019.97	9.9
11/15/2013 8:30 PM	1.08	11.51	7055.40	9.9
11/15/2013 8:45 PM	1.13	12.68	8088.51	9.8
11/15/2013 9:00 PM	1.01	9.25	5254.98	9.9
11/15/2013 9:15 PM	0.91	4.66	2336.43	9.9
11/15/2013 9:30 PM	1.28	16.24	11692.12	9.9
11/15/2013 9:45 PM	1.22	14.96	10324.30	9.9
11/15/2013 10:00 PM	0.86	0.02	9.73	9.9
11/15/2013 10:15 PM	0.86	0.02	8.77	9.9
11/15/2013 10:30 PM	0.86	0.10	47.29	10.0
11/15/2013 10:45 PM	0.86	0.06	29.08	10.0
11/15/2013 11:00 PM	0.86	0.02	9.94	10.0
11/15/2013 11:15 PM	0.86	0.05	21.49	10.0
11/15/2013 11:30 PM	0.86	0.00	0.00	10.0
11/15/2013 11:45 PM	0.86	0.04	18.76	10.0
11/16/2013 12:00 AM	0.86	0.05	24.69	10.0
11/16/2013 12:15 AM	0.86	0.05	23.51	10.0
11/16/2013 12:30 AM	0.86	0.00	0.00	10.0
11/16/2013 12:45 AM	0.86	0.00	0.00	10.0
11/16/2013 1:00 AM	0.86	0.00	0.00	10.1
11/16/2013 1:15 AM	0.86	0.00	0.00	10.0
11/16/2013 1:30 AM	0.86	0.02	9.15	10.0
11/16/2013 1:45 AM	0.86	0.04	18.87	10.0
11/16/2013 2:00 AM	0.86	0.02	10.44	10.1
11/16/2013 2:15 AM	0.86	0.02	10.73	10.0
11/16/2013 2:30 AM	0.86	0.02	9.77	10.0
11/16/2013 2:45 AM	0.86	0.00	0.00	10.0
11/16/2013 3:00 AM	0.86	0.00	0.00	10.1
11/16/2013 3:15 AM	0.86	0.00	0.00	10.0
11/16/2013 3:30 AM	0.86	0.04	19.21	10.0
11/16/2013 3:45 AM	0.86	0.00	0.00	10.0
11/16/2013 4:00 AM	0.86	0.06	30.35	10.1
11/16/2013 4:15 AM	0.86	0.04	20.77	10.0
11/16/2013 4:30 AM	0.86	0.02	10.03	10.0
11/16/2013 4:45 AM	0.86	0.00	0.00	10.0
11/16/2013 5:00 AM	0.86	0.00	0.00	10.0
11/16/2013 5:15 AM	0.86	0.00	0.00	10.0
11/16/2013 5:30 AM	0.86	0.00	0.00	10.0
11/16/2013 5:45 AM	0.86	0.00	0.00	10.0
11/16/2013 6:00 AM	0.86	0.00	0.00	10.1
11/16/2013 6:15 AM	0.86	0.00	0.00	10.0
11/16/2013 6:30 AM	0.85	0.00	0.00	10.0
11/16/2013 6:45 AM	0.85	0.00	0.00	10.0
11/16/2013 7:00 AM	0.85	0.00	0.00	10.0
